path,wav2vec2,4gram
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6943f7d8e7.flac,কন কোন বিষয়ে এক্খনেই,কোন কোন বিষয়ে এক্ষনে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69446c0400.flac,আইলা বিউ,আইলা বি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69447c52aa.flac,মহখালী বাস্ট টার্মিনাল ছিল,মহাখালী বাস্ট টার্মিনাল ছিল
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69448f6106.flac,পজানা ঢাকাকে খুলে দিলেন,অজানা ঢাকাকে খুলে দিলেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6944fff49f.flac,ফুটফল তারকা,ফুটবল তারকা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69454779d6.flac,নিরব ছিলেন,নীরব ছিলেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694557299d.flac,এছাড়া হরা ক্লেওনে,এছাড়া হরাক্লেওনে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694565120b.flac,প্রচণ্ড গতিতে ঘুর ছিল,প্রচণ্ড গতিতে ঘুরছিল
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6945a43b1f.flac,কমি,কি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6945ce3094.flac,আমার মুক দিয়ে,আমার মুখ দিয়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694625b582.flac,যেগুলো আমরা করছি,যেগুলো আমরা করছি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6946312050.flac,পাছের টা আশিয়া,পাশেরটা এশিয়া
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69464712ea.flac,আমাদের ই চোখের সামনে ঘটল,আমাদের চোখের সামনে ঘটল
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694677ba37.flac,বাংলাদেশের অধ্বেগ রয়েছে,বাংলাদেশের উদ্বেগ রয়েছে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6946a4ef8c.flac,ভাষাগত দিক দিে,ভাষাগত দিক দিয়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6946e8fec4.flac,আবার বেলা ট কাক,আবার বেলা কাকে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69473bb768.flac,রবিন্দ্র ভূবনে বয়ে,রবীন্দ্র ভূবনে বয়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6947b6138e.flac,ফলে যে কোনো সময়,ফলে যে কোনো সময়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6947f60df1.flac,ভালোমানের পর্রন,ভালোমানের প্রন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694829fd2f.flac,গ্রাউন্ডের বাইরে,গ্রাউন্ডের বাইরে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69485a53a6.flac,ক্ষমা চাইতে বলে,ক্ষমা চাইতে বলে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694885f437.flac,আমরা কিছু তরুণ কবি,আমরা কিছু তরুণ কবি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6949b7d5bf.flac,এসেছিলেন বিশ্ববিদ্যালয়ের ছাত্র,এসেছিলেন বিশ্ববিদ্যালয়ের ছাত্র
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6949e5af83.flac,প্রথম ব্যক্তি,প্রথম ব্যক্তি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694a0b88ed.flac,কাজ করেছেন ফার হানা,কাজ করেছেন ফারহানা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694a4b0100.flac,নাকা বেতারে,ঢাকা বেতারে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694aa390ee.flac,বিভিন্ন সময়ে,বিভিন্ন সময়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694bcdf90d.flac,কয়েক রাউন্ড গুলি চালিয়ে,কয়েক রাউন্ড গুলি চালিয়ে
