path,sentence
train_files/common_voice_bn_30993036.mp3,নদীটি হচ্ছে নবগঙ্গা নদী
train_files/common_voice_bn_30993441.mp3,হারাম কাজ সর্বাবস্থায় নিষিদ্ধ
train_files/common_voice_bn_30993849.mp3,চঞ্চু শক্তিশালী
train_files/common_voice_bn_30997218.mp3,এর আবার অনেক ভাগ রয়েছে
train_files/common_voice_bn_30997623.mp3,তাদের এক ছেলে রয়েছে
train_files/common_voice_bn_30999133.mp3,এই আমার মা
train_files/common_voice_bn_31000753.mp3,অধিকন্তু ত্রিভুজটির নয়বিন্দুর কেন্দ্র ঐ ব্যাসের উপর অবস্থান করে
train_files/common_voice_bn_31002761.mp3,বই দুইটি হলো
train_files/common_voice_bn_31004480.mp3,তিনি সম্ভ্রান্ত পরিবারের সন্তান ছিলেন
train_files/common_voice_bn_31004936.mp3,ল্বকের সদর তেহট্ট
train_files/common_voice_bn_31004942.mp3,পাঁচ
train_files/common_voice_bn_31005408.mp3,বাংলাদেশী রাজনীতিবিদ
train_files/common_voice_bn_31005433.mp3,উনি আমাকে লাথি মারছেন
train_files/common_voice_bn_31005438.mp3,মন্দিরটি বর্গাকার
train_files/common_voice_bn_31006053.mp3,করতে সক্ষম
train_files/common_voice_bn_31007014.mp3,করতে সক্ষম
train_files/common_voice_bn_31007373.mp3,এখানে শিক্ষা প্রতিষ্ঠান রয়েছেঃ
train_files/common_voice_bn_31008948.mp3,মুহাম্মাদ তাকে মুক্তি দেন
train_files/common_voice_bn_31009343.mp3,স্টেডিয়ামটি ডিম্বাকার
train_files/common_voice_bn_31009897.mp3,তারা দুজনেই ইহুদি ছিলেন
train_files/common_voice_bn_31011911.mp3,পারবে না
train_files/common_voice_bn_31012866.mp3,এই দম্পতির তিন সন্তান
train_files/common_voice_bn_31014914.mp3,উদর বেশ গোলাকার
train_files/common_voice_bn_31015787.mp3,মুম্বাইয়ে যাত্রা শুরু করে
train_files/common_voice_bn_31016934.mp3,হত্যা করা হয়েছে বলে পরিবারের অভিযোগ
train_files/common_voice_bn_31016958.mp3,গাজী মোহাম্মদ শাহজাহান জুয়েল
train_files/common_voice_bn_31017933.mp3,উদরের উপরিতল কালো
train_files/common_voice_bn_31018365.mp3,প্রধান শহর
train_files/common_voice_bn_31018930.mp3,আমি শুধু তোমাকেই চাই
train_files/common_voice_bn_31019208.mp3,আমি খেলতে চাইনা
train_files/common_voice_bn_31019455.mp3,তারপর মহলে যাবেন
train_files/common_voice_bn_31021410.mp3,অফিস প্রধান হলেন চেয়ারম্যান
train_files/common_voice_bn_31021790.mp3,এমনকি জার্মানিতে বসবাসকারী কিছু মুসলমান বা মুসলমানসংখ্যাগরিষ্ঠ দেশ থেকে জার্মানিতে আসা অভিবাসীদের কাছেও তার দৃষ্টিভঙ্গি কঠোরভাবে প্রত্যাখ্যাত হয়েছে
train_files/common_voice_bn_31022267.mp3,তারা দ্রুত এগিয়ে যেতে থাকল
train_files/common_voice_bn_31022643.mp3,ব্রিটিশ ভারতে জন্মগ্রহণ করেন
train_files/common_voice_bn_31023226.mp3,তিনি সেখানকার বাসিন্দা ছিলেন
train_files/common_voice_bn_31023987.mp3,খুব ভাল আর তুমি
train_files/common_voice_bn_31024036.mp3,এরা দ্রুত গাছে উঠতে পারে
train_files/common_voice_bn_31024094.mp3,মন্দিরের পবিত্রতম দেবীদের মধ্যে দুটি অনুরূপ কিন্তু বিভিন্ন আকারের কালো পাথর মূর্তি রয়েছে
