path,predicted,actual
../input/dlsprint/validation_files/common_voice_bn_31621610.mp3,ক্রৃষি সেবা রিমিডান্স ব্যবসা ও অন্যান্ন,"কৃষি, সেবা, রেমিটেন্স, ব্যবসা ও অন্যান্য।"
../input/dlsprint/validation_files/common_voice_bn_31621614.mp3,তিনি ছিলেন চাকমাভাষার প্রথম আধুনিক গীতিকার,তিনি ছিলেন চাকমা ভাষার প্রথম আধুনিক গীতিকার।
../input/dlsprint/validation_files/common_voice_bn_31600766.mp3,ইংরেজি সাথে সাথে তাদের হিন্দি ও সংস্কৃত শিক্ষা দেয়া হত,ইংরেজির সাথে সাথে তাদের হিন্দী ও সংস্কৃত শিক্ষা দেওয়া হতো।
../input/dlsprint/validation_files/common_voice_bn_31600769.mp3,শিখর ধারণ তার প্রথম আন্তর্জাতিক উইকেট শিকারে পরিণতা হয়েছিলেন,শিখর ধাওয়ান তার প্রথম আন্তর্জাতিক উইকেট শিকারে পরিণত হয়েছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31513081.mp3,চতুর্থ শপ্তা থেকে অবস্থার উন্নতি হতে থাকে কিন্তু এই উন্নতির হারের কিছু হেরফের আছে,"চতুর্থ সপ্তাহ থেকে অবস্থার উন্নতি হতে থাকে,কিন্তু এই উন্নতির হারের কিছু হেরফের আছে।"
../input/dlsprint/validation_files/common_voice_bn_31513314.mp3,এখানে তিনি এয়াকইন্সের অধীনে অধ্যয়ন করেছিলেন,এখানে তিনি এয়াকিনসের অধীনে অধ্যয়ন করেছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31630830.mp3,শীপকালীন গেমসে এ কন কোনো পদক জিততে পারেনি,শীতকালীন গেমসে এখনো কোন পদক জিততে পারেনি।
../input/dlsprint/validation_files/common_voice_bn_31630833.mp3,অবশেষে তিনি কাবুলে ফিরে আসেন,"অবশেষে, তিনি কাবুলে ফিরে আসেন।"
../input/dlsprint/validation_files/common_voice_bn_31534395.mp3,তিনি অ্যাতেলসএএস সক্রিটিসের শিষ্ষ হন,তিনি এথেন্সে এসে সক্রেটিসের শিষ্য হন।
../input/dlsprint/validation_files/common_voice_bn_31534420.mp3,তিন বছর বয়সে তার বাবা মারা যান,তিন বছর বয়সে তাঁর বাবা মারা যান।
../input/dlsprint/validation_files/common_voice_bn_31665331.mp3,এর আগের রাজার হাট কেন্দ্রটি বিদ্যমান ছিল না,এর আগে রাজারহাট কেন্দ্রটি বিদ্যমান ছিল না।
../input/dlsprint/validation_files/common_voice_bn_31525818.mp3,অবসর পরবর্তীকালে আম্পায়ার ও ধারা ভাষ্বকরের ভূমিকয় অবতীর্ণ হন,অবসর পরবর্তীকালে আম্পায়ার ও ধারাভাষ্যকারের ভূমিকায় অবতীর্ণ হন।
../input/dlsprint/validation_files/common_voice_bn_31525822.mp3,এই বৃদ্ধি আগামী চল্লিশ থেকে পঞ্চার বছর ধরে গড়তে থাকবে,এই বৃদ্ধি আগামী চল্লিশ থেকে পঞ্চাশ বৎসর ধরে ঘটতে থাকবে।
../input/dlsprint/validation_files/common_voice_bn_31509995.mp3,নিষিদ্ধ আদেশে তৎ্ষণাথ শহরের উপর চাপিয়ে দেওয়া হয়েছিল,নিষিদ্ধ আদেশ তৎক্ষণাৎ শহরের উপর চাপিয়ে দেওয়া হয়েছিল।
../input/dlsprint/validation_files/common_voice_bn_31510320.mp3,বর্তমানে তিনি মার্কিন যুক্তরাষ্ট্রের ফ্লোরিডায় বসবাস করছেন,বর্তমানে তিনি মার্কিন যুক্তরাষ্ট্রের ফ্লোরিডায় বসবাস করছেন।
../input/dlsprint/validation_files/common_voice_bn_31686739.mp3,সর্বত্রই কাচা কর্ধমাক্তরস্তা এসব রা্তা দিয়েই মানুষ অতিকষ্টে চলাচল করত,সর্বত্রই কাঁচা কর্দমাক্ত রাস্তা এসব রাস্তা দিয়েই মানুষ অতি কষ্টে চলাচল করত।
../input/dlsprint/validation_files/common_voice_bn_31686759.mp3,সত্তি এ বাড়িতে কোনো মহিলা খুন হয়েছিল,সত্যি এ বাড়িতে কোন মহিলা খুন হয়েছিল?
../input/dlsprint/validation_files/common_voice_bn_31665724.mp3,এটি নির্মাণ করেছে শালিমার ওয়ার্ক,এটি নির্মাণ করেছে শালিমার ওয়ার্ক।
../input/dlsprint/validation_files/common_voice_bn_31666043.mp3,তিনি কুয়েতের দশং শাসক শেখ আহমমদ আল জাবের আলসাবাহা এর পুত্র,তিনি কুয়েতের দশম শাসক শেখ আহমাদ আল-জাবের আল-সাবাহ-এর পুত্র।
../input/dlsprint/validation_files/common_voice_bn_31710783.mp3,ও আমার উপর প্রাস,ও আমার উপর ক্রাশ।
../input/dlsprint/validation_files/common_voice_bn_31710855.mp3,এ উৎপাদন দেশের চাহিদার তুলনায় বেশ কম,এ উৎপাদন দেশের চাহিদার তুলনায় বেশ কম।
