path,wav2vec2,4gram
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f5997565.flac,ডকটর ফজলুল বাড়ি,ডক্টর ফজলুল বাড়ি
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f5caafa1.flac,সঠিপ জঞানকে,সঠিক জ্ঞানকে
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f6add1a7.flac,তার জন্ম বিয়ে তালিম,তার জন্ম বিয়ে তালিম
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f6c5e9e6.flac,ব,
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f71cb496.flac,গত বছরের বারো ডিসেম্বর,গত বছরের বারো ডিসেম্বর
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f732dcab.flac,এছাড়া ছোট আকারের,এ ছাড়া ছোট আকারের
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f7adb3d5.flac,পূর্ব লন্ডনে,পূর্ব লন্ডনে
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f7d46dae.flac,সিপিবি সভাপতির মতে,সিপিবি সভাপতির মতে
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f805d46f.flac,নয়লক্ষ্য ত্রীসাজার ভোটকেন্দ্র তৈরি হবে,নয় লক্ষ্য তরী সাজার ভোটকেন্দ্র তৈরি হবে
/root/.cache/huggingface/datasets/downloads/extracted/8a8ab8d132e9aea232c1b25a6e48206b004d4b3e65d48e563f573ca9f05d3db1/asr_bengali/data/45/45f81cd6a2.flac,ইদের সময়,ঈদের সময়
