path,ref,hyp,label,wer_percentage
31603740,   এগুলিকে বংশসূত্র-বহির্ভূত ডিএনএ বলে।,"এগুলি লিকে বংশ সূত্র বহির্ভূত টিয়া, নেপাল।","['I', 'I', 'I', 'S', 'S', 'S', 'S']",100
31564363,শিল্প কি?, শিল্পকে।,"['D', 'S']",100
31641839,পা ত্বক বর্ণ।,  পাতকবর্ণ।,"['D', 'D', 'S']",100
31712743,প্রথমা,প্রথমা।,['S'],100
31537263,মে আই কাম ইন ম্যাডাম?,   মেয়াইকামিন ম্যাডাম।,"['D', 'D', 'D', 'S', 'S']",100
31515728,প্রতিবছর ই!,প্রতি বছরই।,"['S', 'S']",100
31001322,নাম করন, নামকরণ।,"['D', 'S']",100
31550618,  যুক্তরাষ্ট্রের তৎকালীন রাষ্ট্রপতি রিচার্ড নিক্সন তখনকার অবস্থাকে পাকিস্তানের অভ্যন্তরীণ বিষয় হিসেবে অভিহিত করে সে অবস্থায় হস্তক্ষেপ করতে অস্বীকৃতি জানায়।,যুক্তরাষ্ট্রে তখতানের রাট্রপতি বিষয়ে সান তখন তার অবস্থাতে সাবানের অরুন তুমি বিয়ের হিসেবে  তর শব অবস্থায়   ষতেঅষ্বেকতে জানা।,"['I', 'I', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'D', 'S', 'S', 'C', 'D', 'D', 'S', 'S']",90
31550185,সাদা-কালো ফরম্যাটের এই ছায়াছবি ইতিবাচক পর্যালোচনা পেয়েছিল এবং বেশ কয়েকজন সাংবাদিক চলচ্চিত্রটির হাস্যরসের প্রশংসা করেছেন।, সাদা কালো পর্দার রেটিবরপচলটস পর এ পর বেশ কয়েকজন  সনদে চলচ্চিত্রটি বাস্পশেরপ্রস করেছে।,"['D', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'D', 'S', 'S', 'S', 'S']",86
31557947, পিতা-যায়েদ ইবনে  সাবিত আল-আনসারী।,পিতা জায়েদ ইবনে স আবিদ আলআনসারী।,"['I', 'S', 'C', 'I', 'S', 'S']",83
31510305,  ফলের স্বাদ টক-মিষ্টি।,"করে বাকি ফলের স্বাদ, টকমিষ্টি।","['I', 'I', 'C', 'S', 'S']",80
31021632,ইনি ঈসা খাঁর বন্ধু ছিলেন।, তিনি শাখার বন্দী ছিলেন।,"['D', 'S', 'S', 'S', 'C']",80
31000472,কুয়েতের কোনও এজেন্ডা নেই।,কুয়েতের  কোনো অ্যাজেন্ডানেই।,"['C', 'D', 'S', 'S']",75
31638487,আমি  ঈর্ষাপরায়ণ নই।,আমি সা পড়ায় নাই।,"['C', 'I', 'S', 'S']",75
31539866,"তিনি এতটাই অসুস্থ হয়ে পড়েন যে, নামাজের ইমামতি পর্যন্ত করতে পারছিলেন না।",    কি নেতাদের সহ পরে অত্যন্ত করতে পারছিলেন না।,"['D', 'D', 'D', 'D', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C']",75
31555992," অতএব, তুলসী দেবীকে সর্বদাই পূজা করবে।",অ্যাপ তুলে সে দেবীকে সর্বদাই জাফর করে।,"['I', 'S', 'S', 'C', 'C', 'S', 'S']",71
31513660,পাকিস্তানি  পাসপোর্ট মেশিন-পঠনযোগ্য এবং  বায়োমেট্রিক।,"পাকিস্তানি পাঁচ ফুট, মেশিনপঠনযোগ্য এবং বাই মেট্রিক।","['C', 'I', 'S', 'S', 'C', 'I', 'S']",71
31550339,এরা প্রধানত প্রাকৃতিক গাছের গর্তে বসবাস করে অথবা এরা তাদের ঠোঁট দিয়ে গাছে গর্ত করে নিয়ে তার মধ্যে বসবাস করে।,"এরা  প্রতানরাকৃতি কাছে করতে বাস করে, অথবা এরা কাছে জল দিয়ে   কার্যকর বয়ে কর মতে বসবাস করে।","['C', 'D', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'D', 'D', 'S', 'S', 'S', 'S', 'C', 'C']",70
