path,sentence
common_voice_bn_31584094.mp3,"দ্বিতীয়ত, এটি বহুল প্রচলিত একটি রিজার্ভ কারেন্সী।"
common_voice_bn_31617509.mp3,জ্ঞান চর্চার সুবিধার্থে পাঠাগার আইসিটি চর্চার জন্য একটি কম্পিউটার ল্যাব রয়েছে।
common_voice_bn_31529519.mp3,এর উত্তর দিকে রয়েছে বরণীয় দ্বীপ দক্ষিণে রয়েছে জাভা দ্বীপ।
common_voice_bn_31694167.mp3,পরের বছর তিনজন কৃষ্ণাঙ্গ ব্যক্তি আইনসভায় নির্বাচিত হন।
common_voice_bn_30999394.mp3,কলেজটির নিজস্ব ক্যাম্পাস ভবন নেই।
common_voice_bn_31609225.mp3,"ওরা যেসব শরিক সাব্যস্ত করেছে, শেষ থেকে তিনি পবিত্র বহু অর্ধে।"
common_voice_bn_31574431.mp3,এরা সব ধরনের খাবার খায়।
common_voice_bn_31693170.mp3,এখানে মধ্যপ্রাচ্য ও দক্ষিণপূর্ব এশিয়ার দেশগুলোর জন্য উড়ান রয়েছে।
common_voice_bn_31582421.mp3,এই লোকসভা কেন্দ্রের সদর দফতর ভান্ডারাগন্ডিয়া শহরে অবস্থিত।
common_voice_bn_31673473.mp3,তিনি নবী মুহাম্মদের একজন সাহাবা।
common_voice_bn_31553771.mp3,তাদের পার্থনা এবং উপবাসের কারণে তারা ধ্রুব নামে একটি পুত্রের আশীর্বাদ লাভ করেছিল।
common_voice_bn_31510263.mp3,ফলে কলেজটি নড়াইল সরকারি ভিক্টোরিয়া কলেজ নাম ধারণ করে।
common_voice_bn_31538429.mp3,বিভিন্ন জাতীয় অধিবাসপালন এবং সাংগঠনিক কর্মসূচির মাধ্যমে সংগঠনটির কার্যক্রম সচল রয়েছে।
common_voice_bn_31530309.mp3,তার গ্রন্থের সংখ্যা শতাধিক।
common_voice_bn_31549529.mp3,তার জানাজার নামাজের ইমামতি করেন আরশাদ মাদানি।
common_voice_bn_31522902.mp3,বর্তমানে ওই বাড়িতে বসবাস করছেন গোপাল দাস নামে এক বে।
common_voice_bn_31696759.mp3,এটি পশ্চিম আফ্রিকার নির্দিষ্ট ভাষার জন্য তৈরি অনেকগুলি দেশীয় লিপির মধ্যে একটি।
common_voice_bn_31511710.mp3,চলচ্চিত্রটি বক্স অফিসে সফল হয়েছিল।
common_voice_bn_31560160.mp3,এই প্রতিষ্ঠানের অনেক ইতিহাস রয়েছে।
common_voice_bn_31670424.mp3,আয়তন ও জনসংখ্যার দিক থেকে এটি রাজবাড়ী জেলার বৃহত্তম উপজেলা।
common_voice_bn_31562139.mp3,জগমোহন এর পাঠন মিথ্যা ছিল।
common_voice_bn_31547487.mp3,বয়াবহ এক অবস্থা।
common_voice_bn_31697513.mp3,লন্ডনে ফিরে এসে মূল রয়াল শিল্পকলা কলেজের সাত বছরের শিক্ষক পদে যোগদান করেন।
common_voice_bn_31512099.mp3,এমসিসির পক্ষে তার অলরাউন্ড কিরাশৌলী প্রায়শই বেশ গুরুত্বপূর্ণ ভূমিকা পালন করতো।
common_voice_bn_31566383.mp3,এই জেলার কয়েকটি গুরুত্বপূর্ণ নদী।
common_voice_bn_31511766.mp3,জিহাখান মার্কিন যুক্তরাষ্ট্রের নিউ ইয়র্ক সিটির একটি মুসলিম পরিবারে জন্মগ্রহণ করেন।
common_voice_bn_31011765.mp3,ওড়ার প্রাক্কালে এরা দুই ডানা ঝাপটায় এবং পা দিয়ে মাটিতে ধাক্কা দিতে থাকে।
common_voice_bn_31621356.mp3,ফলে তিনি উচ্চ শিক্ষা গ্রহণে লন্ডন যেতে ব্যর্থ হন।
common_voice_bn_31523033.mp3,ছবিটি মিশ্র পর্যালোচনা পেয়েছে।
common_voice_bn_31651469.mp3,কুস্তিতে আসার পর তিনি বাংলাদেশ িনায়বাহী নির্বাচক দলের নজরে আসেন।
common_voice_bn_31559530.mp3,তিনি ইসা খার একজন অনুসারী ছিলেন।
